Interface,Signal Name,Description,Direction,PinName,Function Number,Function select register,,,,,,,,
ADC,(ADC1),,I,ADC1,0,"FMUX_GPIO_REG_IOCTRL_ADC1
0x0300_10F8",,,,,,,,
,(ADC2),,I,ADC2,0,"FMUX_GPIO_REG_IOCTRL_ADC2
0x0300_10F4",,,,,,,,
,(ADC3),,I,ADC3,0,"FMUX_GPIO_REG_IOCTRL_ADC3
0x0300_10F0",,,,,,,,
No die domain ADC,PWR_GPIO[2](PWRSAR.VIN1),,I,PWR_GPIO2,0,"FMUX_GPIO_REG_IOCTRL_PWR_GPIO2
0x0300_10AC",,,,,,,,
,PWR_GPIO[1](PWRSAR1.VIN2),,I,PWR_GPIO1,0,"FMUX_GPIO_REG_IOCTRL_PWR_GPIO1
0x0300_10A8",,,,,,,,
,PWR_VBAT_DET(PWRSAR.VIN3),,I,PWR_VBAT_DET,0,"FMUX_GPIO_REG_IOCTRL_PWR_VBAT_DET
0x0300_107C",,,,,,,,
Audio,(PAD_AUD_AINL_MIC),,I,PAD_AUD_AINL_MIC,0,"FMUX_GPIO_REG_IOCTRL_PAD_AUD_AINL_MIC
0x0300_11BC",,,,,,,,
,(PAD_AUD_AINR_MIC),,I,PAD_AUD_AINR_MIC,0,"FMUX_GPIO_REG_IOCTRL_PAD_AUD_AINR_MIC
0x0300_11C0",,,,,,,,
,(PAD_AUD_AOUTL),,O,PAD_AUD_AOUTL,0,"FMUX_GPIO_REG_IOCTRL_PAD_AUD_AOUTL
0x0300_11C4",,,,,,,,
,(PAD_AUD_AOUTR),,O,PAD_AUD_AOUTR,0,"FMUX_GPIO_REG_IOCTRL_PAD_AUD_AOUTR
0x0300_11C8",,,,,,,,
Ethernet,(PAD_ETH_RXM),,I/O,PAD_ETH_RXM___EPHY_TXP,0,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_RXM
0x0300_1130",,,,,,,,
,(PAD_ETH_RXP),,I/O,PAD_ETH_RXP___EPHY_TXN,0,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_RXP
0x0300_112C",,,,,,,,
,(PAD_ETH_TXM),,I/O,PAD_ETH_TXM___EPHY_RXP,0,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_TXM
0x0300_1128",,,,,,,,
,(PAD_ETH_TXP),,I/O,PAD_ETH_TXP___EPHY_RXN,0,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_TXP
0x0300_1124",,,,,,,,
,EPHY_LNK_LED,,O,SD0_CLK,6,"FMUX_GPIO_REG_IOCTRL_SD0_CLK
0x0300_101C",,,,,,,,
