Pin Num,Pin Name,Register Name,Address,Field Name,Bit,Default,Field Description,Field Description,,
H12,RSTN,IOBLK_G1_REG_RSTN,0x0300_1800,IOBLK_G1_REG_RSTN_PU,2,0x1,上拉电阻使能. 0=无效; 1=有效,Pull up enable 0=disable; 1=enable,,
,,,,IOBLK_G1_REG_RSTN_PD,3,0x0,下拉电阻使能. 0=无效; 1=有效,Pull down enable 0=disable; 1=enable,,
,,,,IOBLK_G1_REG_RSTN_DS0,5,0x0,输出驱动能力档位 bit 0,Output buffer Driving Strength bit 0 ,,
,,,,IOBLK_G1_REG_RSTN_DS1,6,0x1,输出驱动能力档位 bit 1,Output buffer Driving Strength bit 1 ,,
,,,,IOBLK_G1_REG_RSTN_ST0,8,0x0,输入施密特触发器强度控制. bit 0,Input buffer Schmitt trigger level bit 0,,
,,,,IOBLK_G1_REG_RSTN_ST1,9,0x0,输入施密特触发器强度控制. bit 1,Input buffer Schmitt trigger level bit 1,,
,,,,IOBLK_G1_REG_RSTN_HE,10,0x0,弱电平维持器(Bus holder) 使能 . 0=无效 ; 1=有效,Bus holder enable 0=disable; 1=enable,,
,,,,IOBLK_G1_REG_RSTN_SL,11,0x0,输出电平转换速率限制. 0=无效(较快) ; 1=有效(较慢),Output Buffer Slew Rate Limit 0=disable; 1=enable,,
H13,PWM0_BUCK,IOBLK_G1_REG_PWM0_BUCK,0x0300_1804,IOBLK_G1_REG_PWM0_BUCK_PU,2,0x0,上拉电阻使能. 0=无效; 1=有效,Pull up enable 0=disable; 1=enable,,
,,,,IOBLK_G1_REG_PWM0_BUCK_PD,3,0x0,下拉电阻使能. 0=无效; 1=有效,Pull down enable 0=disable; 1=enable,,
,,,,IOBLK_G1_REG_PWM0_BUCK_DS0,5,0x0,输出驱动能力档位 bit 0,Output buffer Driving Strength bit 0 ,,
,,,,IOBLK_G1_REG_PWM0_BUCK_DS1,6,0x1,输出驱动能力档位 bit 1,Output buffer Driving Strength bit 1 ,,
,,,,IOBLK_G1_REG_PWM0_BUCK_ST0,8,0x0,输入施密特触发器强度控制. bit 0,Input buffer Schmitt trigger level bit 0,,
,,,,IOBLK_G1_REG_PWM0_BUCK_ST1,9,0x0,输入施密特触发器强度控制. bit 1,Input buffer Schmitt trigger level bit 1,,
