Pin Num,Pin Name,IO Type,IOGroup,PowerDomain,IO_cfg_register,"Function_select
_register","fmux_
default",Description,Note
C4,CAM_MCLK0,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_CAM_MCLK0
0x0300_1B00","FMUX_GPIO_REG_IOCTRL_CAM_MCLK0
0x0300_1000",0x3,"IO CAM_MCLK0 function select : 
    0 : CAM_MCLK0 
    2 : AUX1 
    3 : XGPIOA[0] (default)
    Others : Reserved",
C3,CAM_PD0,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_CAM_PD0
0x0300_1B04","FMUX_GPIO_REG_IOCTRL_CAM_PD0
0x0300_1004",0x3,"IO CAM_PD0 function select : 
    1 : IIS1_MCLK 
    3 : XGPIOA[1] (default)
    4 : CAM_HS0 
    Others : Reserved",
E5,CAM_RST0,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_CAM_RST0
0x0300_1B08","FMUX_GPIO_REG_IOCTRL_CAM_RST0
0x0300_1008",0x3,"IO CAM_RST0 function select : 
    3 : XGPIOA[2] (default)
    4 : CAM_VS0 
    6 : IIC4_SCL 
    Others : Reserved",
D3,CAM_MCLK1,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_CAM_MCLK1
0x0300_1B0C","FMUX_GPIO_REG_IOCTRL_CAM_MCLK1
0x0300_100C",0x3,"IO CAM_MCLK1 function select : 
    0 : CAM_MCLK1 
    2 : AUX2 
    3 : XGPIOA[3] (default)
    4 : CAM_HS0 
    Others : Reserved",
E4,CAM_PD1,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_CAM_PD1
0x0300_1B10","FMUX_GPIO_REG_IOCTRL_CAM_PD1
0x0300_1010",0x3,"IO CAM_PD1 function select : 
    1 : IIS1_MCLK 
    3 : XGPIOA[4] (default)
    4 : CAM_VS0 
    6 : IIC4_SDA 
    Others : Reserved",
D4,IIC3_SCL,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_IIC3_SCL
0x0300_1B14","FMUX_GPIO_REG_IOCTRL_IIC3_SCL
0x0300_1014",0x3,"IO IIC3_SCL function select : 
    0 : IIC3_SCL 
    3 : XGPIOA[5] (default)
    Others : Reserved",
F4,IIC3_SDA,1.8V GPIO,G11,VDD18A_MIPI,"IOBLK_G11_REG_IIC3_SDA
0x0300_1B18","FMUX_GPIO_REG_IOCTRL_IIC3_SDA
0x0300_1018",0x3,"IO IIC3_SDA function select : 
    0 : IIC3_SDA 
    3 : XGPIOA[6] (default)
    Others : Reserved",
L1,SD0_CLK,18OD33 IO,G10,VDDIO_SD0,"IOBLK_G10_REG_SD0_CLK
0x0300_1A00","FMUX_GPIO_REG_IOCTRL_SD0_CLK
0x0300_101C",0x0,"IO SD0_CLK function select : 
    0 : SDIO0_CLK (default)
    1 : IIC1_SDA 
    2 : SPI0_SCK 
    3 : XGPIOA[7] 
    5 : PWM[15] 
    6 : EPHY_LNK_LED 
    7 : DBG[0] 
    Others : Reserved",
L3,SD0_CMD,18OD33 IO,G10,VDDIO_SD0,"IOBLK_G10_REG_SD0_CMD
0x0300_1A04","FMUX_GPIO_REG_IOCTRL_SD0_CMD
0x0300_1020",0x0,"IO SD0_CMD function select : 
    0 : SDIO0_CMD (default)
    1 : IIC1_SCL 
    2 : SPI0_SDO 
    3 : XGPIOA[8] 
    5 : PWM[14] 
    6 : EPHY_SPD_LED 
    7 : DBG[1] 
    Others : Reserved",
L2,SD0_D0,18OD33 IO,G10,VDDIO_SD0,"IOBLK_G10_REG_SD0_D0
0x0300_1A08","FMUX_GPIO_REG_IOCTRL_SD0_D0
0x0300_1024",0x0,"IO SD0_D0 function select : 
    0 : SDIO0_D[0] (default)
    1 : CAM_MCLK1 
    2 : SPI0_SDI 
    3 : XGPIOA[9] 
    4 : UART3_TX 
    5 : PWM[13] 
    6 : WG0_D0 
    7 : DBG[2] 
    Others : Reserved",
